,Date,Price,High,Low,Close,Volume,Adj Close
72,2019-05-01,130.53,130.65,123.04,123.68,547218800,118.7
73,2019-06-01,123.85,138.4,119.01,133.96,508324300,129.04
74,2019-07-01,136.63,141.68,134.67,136.27,484079900,131.26
75,2019-08-01,137,140.94,130.78,137.86,584482000,132.79
76,2019-09-01,136.61,142.37,134.51,139.03,472544800,134.37
77,2019-10-01,139.66,145.67,133.22,143.37,549523400,138.56
78,2019-11-01,144.26,152.5,142.97,151.38,392371800,146.3
79,2019-12-01,151.81,159.55,146.65,157.7,450303300,152.93
80,2020-01-01,158.78,174.05,156.51,170.23,558530000,165.08
81,2020-02-01,170.43,190.7,152,162.01,887522300,157.11
82,2020-03-01,165.31,175,132.52,157.71,1612695500,153.36
83,2020-04-01,153,180.4,150.36,179.21,984705000,174.26
84,2020-05-01,175.8,187.51,173.8,183.25,688845000,178.19
85,2020-06-01,182.54,204.4,181.35,203.51,764965400,198.44
86,2020-07-01,203.14,216.38,197.51,205.01,770190800,199.91
87,2020-08-01,211.52,231.15,203.14,225.53,692423900,219.92
88,2020-09-01,225.51,232.86,196.25,210.33,768176300,205.59
89,2020-10-01,213.49,225.21,199.62,202.47,631618000,197.91
90,2020-11-01,204.29,228.12,200.12,214.07,573443000,209.25
91,2020-12-01,214.51,227.18,209.11,222.42,594761700,217.98
92,2021-01-01,222.53,242.64,211.94,231.96,648076400,227.33
93,2021-02-01,235.06,246.13,227.88,232.38,490962200,227.74
94,2021-03-01,235.9,241.05,224.26,235.77,724945800,231.59
95,2021-04-01,238.47,263.19,238.05,252.18,568661600,247.71
96,2021-05-01,253.4,254.35,238.07,249.68,495084900,245.26
97,2021-06-01,251.23,271.65,243,270.9,508572200,266.72
98,2021-07-01,269.61,290.15,269.6,284.91,522672700,280.51
99,2021-08-01,286.36,305.84,283.74,301.88,441308900,297.22
100,2021-09-01,302.87,305.32,281.62,281.92,502918700,278.1
101,2021-10-01,282.12,332,280.25,331.62,516515800,327.12
102,2021-11-01,331.36,349.67,326.37,330.59,509885200,326.11
103,2021-12-01,335.13,344.3,317.25,336.32,625674800,332.37
104,2022-01-01,335.35,338,276.05,310.98,947531400,307.32
105,2022-02-01,310.41,315.12,271.52,298.79,697050600,295.28
106,2022-03-01,296.4,315.95,270,308.31,734334200,305.31
107,2022-04-01,309.37,315.11,270,277.52,627343400,274.82
108,2022-05-01,277.71,290.88,246.44,271.87,742902000,269.23
109,2022-06-01,275.2,277.69,241.51,256.83,621372300,254.93
110,2022-07-01,256.39,282,245.94,280.74,534891800,278.66
111,2022-08-01,277.82,294.18,260.66,261.47,477157600,259.53
112,2022-09-01,258.87,267.45,232.73,232.9,575586600,231.67
113,2022-10-01,235.41,251.04,219.13,232.13,671225100,230.9
114,2022-11-01,234.6,255.33,213.43,255.14,615296000,253.79
115,2022-12-01,253.87,263.92,233.87,239.82,591358700,239.22
116,2023-01-01,243.08,249.83,219.35,247.81,666168100,247.19
117,2023-02-01,248,276.76,245.47,249.42,615501000,248.8
118,2023-03-01,250.76,289.27,245.61,288.3,747609300,288.3
119,2023-04-01,286.52,292.08,281.64,286.14,225522300,286.14
